color = { 40  70  100 }
graphical_culture = EuropeanGC

party = {
	name = "KOP_conservative"
	start_date = 1835.1.1
	end_date = 1936.1.1

	ideology = conservative

	economic_policy = interventionism
	trade_policy = free_trade
	religious_policy = moralism
	citizenship_policy = residency
	war_policy = pro_military
}

party = {
	name = "KOP_reactionary"
	start_date = 1835.1.1
	end_date = 1936.1.1

	ideology = reactionary

	economic_policy = state_capitalism
	trade_policy = protectionism
	religious_policy = moralism
	citizenship_policy = residency
	war_policy = jingoism
}

party = {
	name = "KOP_reactionary_2"
	start_date = 1835.1.1
	end_date = 1936.1.1

	ideology = reactionary

	economic_policy = planned_economy
	trade_policy = protectionism
	religious_policy = moralism
	citizenship_policy = limited_citizenship
	war_policy = jingoism
}

party = {
	name = "KOP_liberal"
	start_date = 1835.1.1
	end_date = 1936.1.1

	ideology = liberal

	economic_policy = interventionism
	trade_policy = free_trade
	religious_policy = pluralism
	citizenship_policy = limited_citizenship
	war_policy = pro_military
}

party = {
	name = "KOP_anarcho_liberal"
	start_date = 1848.1.1
	end_date = 1936.1.1

	ideology = anarcho_liberal

	economic_policy = laissez_faire
	trade_policy = free_trade
	religious_policy = secularism
	citizenship_policy = full_citizenship
	war_policy = jingoism
}

party = {
	name = "KOP_socialist"
	start_date = 1860.1.1
	end_date = 1936.1.1

	ideology = socialist

	economic_policy = state_capitalism
	trade_policy = protectionism
	religious_policy = moralism
	citizenship_policy = full_citizenship
	war_policy = anti_military
}

party = {
	name = "KOP_communist"
	start_date = 1865.1.1
	end_date = 1936.1.1

	ideology = communist

	economic_policy = planned_economy
	trade_policy = protectionism
	religious_policy = moralism
	citizenship_policy = full_citizenship
	war_policy = pacifism
}

party = {
	name = "KOP_fascist"
	start_date = 1905.1.1
	end_date = 1936.1.1

	ideology = fascist

	economic_policy = planned_economy
	trade_policy = protectionism
	religious_policy = pro_atheism
	citizenship_policy = limited_citizenship
	war_policy = pro_military
}

party = {
	name = "KOP_fascist_2"
	start_date = 1920.1.1
	end_date = 1936.1.1

	ideology = fascist

	economic_policy = planned_economy
	trade_policy = protectionism
	religious_policy = pro_atheism
	citizenship_policy = residency
	war_policy = jingoism
}
