key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portugese;Russian;Finnish;
NFR_accept_the_belgians_title;Accept the Belgians;x;
NFR_accept_the_belgians_desc;It's well known that the Belgians, known as the Wallonians, have been culturally similar to the French for long enough. It is now time for us to unite with our Brothers and Sisters in the North, to welcome the Belgians into the glorious union of the French. We must stand united!;x;
NFR_revoke_belgian_rights_title;Revoke Belgian Rights;x;
NFR_revoke_belgian_rights_desc;The scourge on the glorious French nation has and always will be the Belgians. We must assimilate them into the superior French culture to show them that their ways are simply idiotic and must be eraticated! Vive la France!;x;
COR_join_the_confederation_title;Join the Confederation of the Rhine;x;
COR_join_the_confederation_desc;We've spent enough time being alone! Now we shall join the Confederation of our Brothers and Sisters! Together, the Germans will be strong!;x;
COR_leave_the_confederation_title;Leave the Confederation of the Rhine;x;
COR_leave_the_confederation_desc;The Confederation has been nothing but awful for this nation! We shall paint our own legacy and leave this abomination!;x;
unite_the_confederation_of_the_rhine_title;Unite the Confederation of the Rhine;x;
unite_the_confederation_of_the_rhine_desc;It's time to act upon the German dream. A dream of unity, prosperity, and this is all possible by first Uniting this Confederation. Alone, we're never going to beat anyone, but Together, then we'll have the German Eagle Rise!;x;
COLON_take_syrian_desert_title;Take the Syrian Desert;x;
COLON_take_syrian_desert_desc;It's clear to Nations Worldwide that we deserve to own the Syrian Desert, and thus we shall take it under that oath.;x;
COLON_take_quebec_title;Take Quebec;x;
COLON_take_quebec_desc;It's clear to Nations Worldwide that we deserve to own Quebec, and thus we shall take it under that oath.;x;
COLON_the_north_canadian_frontier_title;The North Canadian Frontier;x;
COLON_the_north_canadian_frontier_desc;We must act and strike the North of Canada. It's time for us to proclaim more of the lands!;x;
COLON_the_arctic_frontier_title;The Arctic Frontier;x;
COLON_the_arctic_frontier_desc;The Arctic of Canada must be ours! After all, we border it!;x;
RMU_unite_romania_title;Unite the Romanian Nations;x;
RMU_unite_romania_desc;The Romanian People have remained divided for too long, and we have finally gotten enough power to declare ourselves a Romanian State. Under the Ideals of the Napoleonic Republics and the Enlightement, we shall begin the process for a greater Romanian State for the Romanian People. All for Romania!;x;
OTO_restore_ottoman_rule_over_greece_title;Restore Ottoman rule over Greece;x;
OTO_restore_ottoman_rule_over_greece_desc;The pesky Greeks have revolted and thus we must punish them by restoring Ottoman rule over their former State. We cannot let the Greeks continue less the entire Ottoman Empire shall crumble which is unacceptable. For the Ottoman Greatness will never be Matched!;x;
NFR_take_over_algeria_title;Take over Algeria;x;
NFR_take_over_algeria_desc;The French People in Algeria are fearful. Fearful of the Algerians taking their rightful Lands. Thus, it logically makes sense for us, the French Nation, to unite with our Brothers and take their Land by force. We cannot let this Oppression go on for much longer, for it is unacceptable.;x;
POL_form_poland_title;Form Poland;x;
POL_form_poland_desc;The Polish People have been divided for too long! We must unite our People, our Brothers and Sisters, for all of us, we must reunite the former lands of the Polish! We cannot let tyranny take over, we will prevail!;x;
TUT_integrate_american_canada_title;Integrate American Canada;x;
TUT_integrate_american_canada_desc;Our American People in Canada shall be welcomed into America Proper, as for they are Americans, just like us. We cannot stand for anyone saying otherwise.;x;
ACD_convert_the_people_title;Convert the People;x;
ACD_convert_the_people_desc;The People of American Canada are to be Americanadians. We are not going to let the Anglo Oppression continue, thus we shall take the iniative.;x;
TUT_integrate_texas_title;Integrate Texas;x;
TUT_integrate_texas_desc;To commemorate the Texan People who lost their lives in the Alamo, We shall integrate their Nation into their own, allowing their Culture to go on and not be oppressed by the Mexicans who've done nothing but wrongs. We are the Liberators. We shall not stand for what they've done.;x;
TUT_manifest_destiny_title;Manifest Destiny;x;
TUT_manifest_destiny_desc;It is our God given right to settle the Lands west to our glorious Nation, yet the Mexicans have rightful American Lands. We will not stand for this, God has given us the Right and We will now take it back!;x;
HTW_integrate_puerto_rico_title;Integrate Puerto Rico;x;
HTW_integrate_puerto_rico_desc;The People of Puerto Rico are similar enough to our Culture and We must integrate them into our Nation.;x;
CARRIBEAN_realize_antillean_confederation_title;Realize the Antillean Confederation;x;
CARRIBEAN_realize_antillean_confederation_desc;The Antillean Confederation was a proposal made in the late 1860's to early 1870's by one Ramon Emeterio Betances has not been realized and has left the Carribean disunited, however in this age we don't stand for disunity when the Colonialists are taking over lands forcefully! We will liberate them just like we liberated ourselves from our old Colonizers! We shall never stand for their preposterous ideas!;x;
TAC_claim_colombia_title;Claim Colombia;x;
TAC_claim_colombia_desc;The Proposal for the Antillean Confederation has rightfully claimed the Nation of Colombia who is or was under oppresive control of the Gran Colombian Regime. We must liberate our Brothers on the Mainland to see true Unity achieved! We must not stand for Colonialism to taint their image of the Liberators!;x;
USCA_claim_panama_title;Claim Panama;x;
USCA_claim_panama_desc;Our Brothers in Panama are in trouble due to the oppresive Gran Colombian Regime and We must liberate them in order to ensure unity in this union.;x;
PBC_amazon_expedition_title;The Bolivian Expedition;x;
PBC_amazon_expedition_desc;We have claimed lands in the Amazon, and thus, We must take the territories for ourselves.;x;
EOB_minor_amazon_expedition_title;The Minor Expedition;x;
EOB_minor_amazon_expedition_desc;The Amazon is a clear part of Brazil and must be taken by our might.;x;
EOB_amazonas_expedition_title;The Amazonas Expedition;x;
EOB_amazonas_expedition_desc;The State of Amazonas is a clear part of Brazil and must be taken by our might.;x;
GCT_amazon_expedition_title;The Gran Colombian Expedition;x;
GCT_amazon_expedition_desc;Our glorious nation will take part of the Amazon for ourselves as it's a clear part of our glorious nation.;x;
EOB_sao_paulo_treaty_title;The Sao Paulo Treaty;x;
EOB_sao_paulo_treaty_desc;We have to punish the Fools who thought Uruguay was theirs and we shall give them terms in order to do so.;x;
UPP_santiago_treaty_title;The Santiago Treaty;x;
UPP_santiago_treaty_desc;We must give the fools from Rio de Janeiro a warning that messing with our territories is wrong and something we cannot stand for.;x;
GENERIC_leadership_boost_title;Leadership Boost;x;
GENERIC_leadership_boost_desc;Quick Boost of Leadership Points;x;
EOB_demand_uruguay_title;Demand Uruguay;x;
EOB_demand_uruguay_desc;The Idiots of Buesno Aires have Uruguay, which is obviously Rightful Brazilian land. We shall send them a strongly worded letter to cease Uruguay to us!;x;
PGN_incorperate_java_title;Incorperate Java;x;
PGN_incorperate_java_desc;The Autonomous Zone of Java has gone on for too long. We will incorperate Java into our proper Nation.;x;
UKG_become_england_title;Become England;x;
UKG_become_england_desc;The End of the United Kingdom has been reached. Our nation has been in Shambles after Scotland and Wales have declared their Independance. We will no longer be recognized as "The United Kingdom of Great Britain and Ireland", but instead as "England".;x;
NFR_reorginize_the_batavian_republic_title;Reorginize the Batavian Republic;x;
NFR_reorginize_the_batavian_republic_desc;The Batavian Republic has remained a stain for too long and We shall take action now. We shall send in a formal request to reorginize the Republic to Amsterdam and ensure that it remains in our Hands.;x;
ISR_the_uganda_scheme_title;The Uganda Scheme;x;
ISR_the_uganda_scheme_desc;The Jewish People in Europe are suffering more and more from Antisemitism, and We must help their cause in any way possible. The Colony of Uganda is clearly the best choice, as it's one of the less important Colonial States in the Empire. We must declare a Jewish state for the Jewish People!;x;
UPP_integrate_new_wales_title;Integrate New Wales;x;
UPP_integrate_new_wales_desc;New Wales is clearly rightful Platine Land, and We must integrate it into our Nation.;x;
PUNEXP_hong_kong_treaty_port_title;The Hong Kong Treaty Port;x;
PUNEXP_hong_kong_treaty_port_desc;We must punish the Chinese, and now We will take over Hong Kong.;x;
PUNEXP_macau_treaty_port_title;The Macau Treaty Port;x;
PUNEXP_macau_treaty_port_desc;We must punish the Chinese, and now We will take over Macau.;x;
PUNEXP_shanghai_treaty_port_title;The Shanghai Treaty Port;x;
PUNEXP_shanghai_treaty_port_desc;We must punish the Chinese, and now We will take over Shanghai.;x;
PUNEXP_ningbo_treaty_port_title;The Ningbo Treaty Port;x;
PUNEXP_ningbo_treaty_port_desc;We must punish the Chinese, and now We will take over Ningbo.;x;
PUNEXP_qingdao_treaty_port_title;The Qingdao Treaty Port;x;
PUNEXP_qingdao_treaty_port_desc;We must punish the Chinese, and now We will take over Qingdao.;x;
PUNEXP_weihaiwei_treaty_port_title;The Weihaiwei Treaty Port;x;
PUNEXP_weihaiwei_treaty_port_desc;We must punish the Chinese, and now We will take over Weihaiwei.;x;
PUNEXP_hainan_treaty_port_title;The Hainan Treaty Port;x;
PUNEXP_hainan_treaty_port_desc;We must punish the Chinese, and now We will take over Hainan.;x;
PUNEXP_formosa_treaty_port_title;The Formosa Treaty Port;x;
PUNEXP_formosa_treaty_port_desc;We must punish the Chinese, and now We will take over Formosa.;x;
EIC_conquer_burma_title;Conquer Burma;x;
EIC_conquer_burma_desc;The Nation of Burma is clearly a part of our Colonial Holdings in India. There's no debate about it, yet their pitiful nation is Independant. This is outrageous, and We must act. We must destroy Burma and Integrate it ourselves.;x;
NFR_integrate_luxembourg_title;Integrate Luxembourg;x;
NFR_integrate_luxembourg_desc;The Territory of Luxembourg has been under our possesion for long enough, and it's time we act. It's time for us to integrate it as a proper Region of France.;x;
ISR_the_andinia_plan_title;The Andinia Plan;x;
ISR_the_andinia_plan_desc;Immigrants to Patagonia have increased to a high degree, and a lot of these Immigrants are Jewish. This means that We must protect the Jewish Populations in South America and that means that We must support the Zionism. We shall establish a Jewish state in Patagonia.;x;
UKG_demand_destruction_of_napoleonic_order_title;Demand the Destruction of the Napoleonic Order;x;
UKG_demand_destruction_of_napoleonic_order_desc;The Napoleonic Order has remained for too long. It's time We declare a Crusade against it, by fighting it's evil! We cannot stand for it!;x;
NFR_uk_dismantlement_the_paris_conference_title;The Paris Conference;x;
NFR_uk_dismantlement_the_paris_conference_desc;The Fools at London thought they could destroy our World order. They think they're clever, huh? Well We'll show them...;x;
NFR_restore_charlemagnes_legacy_title;Restore Charlemagne's Legacy;x;
NFR_restore_charlemagnes_legacy_desc;The Great Charlemagne has been left unrecognized for the sands of time. Time has passed and Charlemagne's Legacy has been forgotten over time, eventually being replaced by the Holy Roman Empire. The time has now come to reinstate a Carolingian Order.;x;
TCE_integrate_switzerland_title;Integrate Switzerland;x;
TCE_integrate_switzerland_desc;The Territories of Switzerland are very clearly Carolingian Clay, and it's time people recognize this as the Truth. The Swiss Nation should not exist and We will take it for the sake of Charlemagne. Three Hurrahs to Charlemagne!;x;
TCE_capital_metz_title;Move the Capital to Metz;x;
TCE_capital_metz_desc;Charlemagne's Restoration cannot be complete without moving the Capital away from Paris, and thus a great plan has to be achieved. We must move the Capital to Metz, to truly reconnect ourselves to the Carolingian Empire.;x;
UPP_integrate_uruguay_title;Integrate Uruguay;x;
UPP_integrate_uruguay_desc;The Time has come for us to properly integrate Uruguay into our Union of Platine States.;x;
UKG_fr_dismantlement_the_london_conference_title;The London Conference;x;
UKG_fr_dismantlement_the_london_conference_desc;The Fools at Paris have been humbled once more, and we'll punish their idiotic actions.;x;
PGN_dutch_reintegration_title;Dutch Reintegration;x;
PGN_dutch_reintegration_desc;We've finally earned enough of a Status to reintegrate into the proper Dutch state, and as thus, We must do so to ensure stability between the Dutch Nations.;x;
NFR_demand_catalonia_title;Demand Catalonia;x;
NFR_demand_catalonia_desc;Catalonia whilst never having been a part of France, still clearly has desires to join France. We must ensure their Protection by demanding Spain hand over the Territories that We metioned before.;x;
ENG_claim_wales_title;Claim Wales;x;
ENG_claim_wales_desc;Wales is a clear part of England and the stupid notion that it isn't is ludicrous. We must assert dominance over the Welsh by showing that the English are better than their silly little state. We must proclaim English Wales.;x;
TUT_working_on_the_treaty_of_guadalupe_hidalgo_title;Working on the Treaty of Guadalupe Hidalgo;x;
TUT_working_on_the_treaty_of_guadalupe_hidalgo_desc;We've beaten the Mexicans and gotten our rightful territories, now it's just about making the right treaty, and we need your help.;x;
AUE_integrate_hungary_title;Integrate Hungary;x;
AUE_integrate_hungary_desc;The Hungarian Territories of the Empire are yet to be properly integrated, and it's been clear that if we don't we'll have major consequences. It's time we recognize the Hungarians as a part of the Habsburg Dynasty and accept their Cultural values.;x;
AUE_integrate_bohemia_title;Integrate Bohemia;x;
AUE_integrate_bohemia_desc;The Bohemians have been with us for a long time now, and it's about time we accept their ways and Cultural values into the Habsburg Dynasty and ensure more Unity among their people.;x;
AUE_reform_the_empires_constitution_title;Reform the Empire's Constitution;x;
AUE_reform_the_empires_constitution_desc;The Habsburg Empire has been using an Outdated Constitution and it is in desperate need of Reform, thus making it more free for the People. It's time for a new Empire to replace the old one.;x;
ISR_the_polish_conspiracy_title;The Polish Conspiracy;x;
ISR_the_polish_conspiracy_desc;The Lands of Poland deserve to accept more people into their State. That's why a Jewish state shall be set up in their Lands as a gift.;x;
UKG_accept_the_irish_title;Accept the Irish;x;
UKG_accept_the_irish_desc;The Irish are very clearly a part of the United Kingdom and it's time for us to accept this fact by integrating their culture into our nation's identity.;x;
KOP_declare_a_german_nation_title;Declare a German Nation;x;
KOP_declare_a_german_nation_desc;It is time for us to unite the Germans together! For too long We've waited, we must act now! Germany shall rise like a phoenix to the Napoleonic Order! Three Hurrahs for Germany!;x;
KOG_integrate_alsacelorraine_title;Integrate Alsace-Lorraine;x;
KOG_integrate_alsacelorraine_desc;The Territory of Alsace-Lorraine is under our control and is very clearly German. We will properly integrate them into our great Nation. Three Hurrahs for Germany!;x;
AUE_form_danubian_confederation_title;Form the Danubian Confederation;x;
AUE_form_danubian_confederation_desc;Our Nation has recently been given a proposal to form a new nation, respectful to everyone living in it. The Proposed Nation? The Danubian Confederation. There's been many proponants of the idea, and it appears that enacting it is in high support.;x;
AUE_annex_the_kingdom_of_slavonia_title;Annex the Kingdom of Slavonia;x;
AUE_annex_the_kingdom_of_slavonia_desc;The territories we used to own are now known as the Kingdom of Slavonia and no longer under our Control. Yet We can change this. With our Influence over the state, we can annex it back into our glorious land.;x;
AUE_reclaim_galicialodomeria_title;Reclaim Galicia-Lodomeria;x;
AUE_reclaim_galicialodomeria_desc;The Territories of Galicia-Lodomeria have been under our Enemy's grasp for far too long. And today's the day it ends! We will reclaim Galicia-Lodomeria in the name of Austria!;x;
KOP_reclaim_polish_partition_title;Reclaim the Territories of the Polish Partition;x;
KOP_reclaim_polish_partition_desc;The Former Lands of the Polish Partition are not in our hands anymore, and that is unacceptable. We must reclaim these Lands in order to re-establish German Dominance over Central Europe! We must stand for this!;x;
KOG_question_of_germanaustria_title;The Question of German-Austria;x;
KOG_question_of_germanaustria_desc;Austria, while populated by a lot of Germans, has always had the same question attached to it. Should it be integrated into a German Nation? The Question, while simple, has been debated upon for decades and it's time we give an Answer. \n \n §R (YOU SHOULD HAVE AT LEAST 10 INFAMY FREE BEFORE PRESSING THIS DECISION!) §W;x;
KOP_inspire_german_militarism_title;Inspire German Militarism;x;
